     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        11,         2,         0,   0.595,bp30+osd,ac9f2252bd465f3f567f90d47747947b64f08d1327943c6f01ea9c2cf73c3fa3,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.163,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.004,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         1,         0,   0.813,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        10,         1,         0,   0.450,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         2,         0,   0.917,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         2,         0,   0.839,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         4,         0,         0,   0.064,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.038,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         8,         2,         0,   0.454,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.078,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         3,         0,         0,   0.137,beam8_230iters,672abda9531b3bcb92ed27039fc2527d0eaf09a3437c24f5dbc900f8b1d46752,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         2,         0,         0,   0.133,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         2,         0,   0.242,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         8,         0,         0,   0.269,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         0,         0,   0.183,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.017,beam8_230iters,a7a3038bdade5759eb277cc0aff57bcb5ca7039159cbf76212fa764bdb0e0021,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         0,         0,   0.276,bp30+osd,3137367ea626f06daa7404876178fb9efa4f0784493fe7b464e33905c3cde508,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         0,         0,   0.276,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         1,         0,    2.72,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.034,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         0,         0,   0.059,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         5,         0,         0,   0.213,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        10,         2,         0,   0.612,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         3,         0,         0,   0.216,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        12,         1,         0,   0.367,beam64_640iters,5f74daf4fe65bd283abef1d34270198d617a026d87b79c0881eb07834fb33043,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""x""}",
         4,         2,         0,   0.276,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         7,         1,         0,   0.397,bp30+osd,293d853cb58bf7435b063fbd47cc3f3f01064490d189ae4c0ebc92bb912bf20e,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,    4.14,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.005,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.006,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.007,beam64_640iters,2d52488b9ecdfb9159a92a6d3a34ef18468126f7e4c7cfc616e48be7eb53f6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""z""}",
